index,expected,prediction,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
75,1,2,-2.908005,1.24790275,1.92469597,0.878138065,-1.78496361,1.63258243,0.213416651,-4.97800398,-3.31497169,-4.38435411
76,1,9,-1.20671988,-1.88858783,-1.32550919,-0.551309586,-0.804987848,0.903795004,-2.8751874,-0.172842547,1.19474578,1.49892688
77,1,3,-2.35919261,-1.26674235,-0.367237777,3.13464665,-2.09235668,-0.290501893,-5.06446552,-1.07097983,1.1566335,0.862010598
78,1,3,-2.08938456,-1.21126425,0.0489624515,3.00669146,-3.99677205,0.937472284,-5.72108555,1.16712129,-0.22054714,0.375660002
79,1,8,-0.78687948,-1.74019456,0.0471327603,-0.954885125,-1.47194958,-0.303848803,0.183760896,-4.01572418,3.95821762,-1.77856052
80,1,8,2.33539438,-4.69578457,0.940646291,-2.60235953,-1.4118948,-2.70737839,-1.0499512,-2.3190701,3.63488054,-1.6499331
81,1,9,-1.64913273,-1.52267873,-0.944146991,0.210123837,-0.86967355,1.35964632,-2.25294971,-0.457284629,0.543874502,1.44332898
82,1,7,-1.54294121,-1.43325567,-0.311856657,1.7458123,-3.5961225,1.31169724,-4.48867226,1.88955748,-0.316913694,0.321846992
83,1,3,-2.1970017,0.2865749,0.39258343,1.56480098,-1.21545267,0.301553041,-2.55279207,-0.630957603,-0.231062174,-0.247496367
84,1,8,2.03267431,-2.54514575,1.63927996,-2.24914312,-2.68477893,-2.19574952,0.747291625,-4.04866171,3.54942369,-3.94094062
85,1,7,-1.65786803,-1.75185132,-1.50419867,1.06143749,-2.24023533,1.37330663,-4.7552762,2.79001427,-0.801930368,0.884440482
86,1,9,-1.51139987,-2.49906301,-1.5804044,0.60691309,-1.63242483,1.93510568,-3.13606501,-0.489871472,0.680155814,2.01504993
87,1,3,-2.03428578,-1.52717221,-0.158392251,2.42625737,-3.24675918,0.627779663,-4.46282053,0.624811709,0.41987589,0.917825341
88,1,8,-0.10910169,-1.73155105,0.733335197,-0.276196659,-1.0995481,-1.7885437,-1.46402347,-1.88381124,3.18762946,-1.19308269
89,1,3,-1.90978158,-1.43231726,0.331342429,2.35912657,-3.70903397,0.439326108,-5.04048204,1.94609654,0.0838911682,0.182775825
90,1,5,-1.12107015,-1.53418946,0.223558396,1.54777014,-4.24936533,1.75252306,-3.86552691,0.997248709,-0.383322716,0.150749907
91,1,3,-2.09129405,-0.232022956,0.247999281,1.45390618,-1.10586476,0.656953812,-2.28237343,-0.600585878,-0.293808997,-0.256974429
92,1,3,-2.40916204,-0.341918588,0.212565988,1.54467213,-0.856873095,-0.0787586123,-2.81611156,-1.04831254,0.724130094,-0.0366731882
93,1,8,2.36545491,-3.90106487,1.4716624,-2.41621542,-1.72070599,-4.34489536,-0.91171217,-3.59823632,5.19168186,-3.49844694
94,1,7,-1.03081906,-1.58382297,-1.15927625,0.565533638,-3.04495072,1.94051075,-3.97296953,2.95155621,-1.00296986,0.221085444
95,1,3,-1.92602694,-2.33899903,-0.544014871,1.99562883,-0.995928288,-0.919705927,-6.04789162,1.04212666,0.19728227,1.93038917
96,1,7,-0.548167825,-2.59577703,-0.901201367,0.254784405,-2.74188542,1.57475662,-3.5934124,2.30492926,0.132007912,0.615932822
97,1,3,-1.80355024,-0.279946417,0.0696407408,1.56854177,-1.3880825,0.7345559,-2.402915,-0.277624279,-0.349200487,0.0790624544
98,1,3,-2.09475565,-0.247881085,0.577483296,2.39490724,-3.46705198,1.0433197,-4.02050591,0.136965305,-0.21456489,-0.289382875
99,1,5,-1.39345765,-1.54926836,-0.769224048,1.1308018,-3.38195014,1.81103206,-4.00238609,1.80852044,-0.331368089,0.532576561
100,2,8,1.09546328,-2.31009531,0.545485795,-2.08649731,-1.56198382,-1.08270276,0.996449888,-3.47662854,3.4024272,-2.49764967
101,2,5,-1.46966481,-0.730548024,0.544629097,0.682516575,-0.771060586,0.746205866,-1.33410966,-0.308113992,-0.281178772,-0.36788705
102,2,7,-1.59590638,-1.14139211,0.832676232,2.01818252,-4.08774471,0.421092868,-5.25865364,2.75004125,-0.390828282,-0.230202958
103,2,3,-1.51670825,-1.40338826,0.571386397,1.74890351,-2.97444558,0.910265088,-3.33694935,1.09789205,-0.503915012,0.0436470881
104,2,8,-1.76026988,-1.02837062,-0.140463769,0.310387671,-0.267727762,-0.147906348,-1.89998507,-0.881034136,1.42487979,0.26589635
105,2,7,-1.30982995,-0.820890307,0.166586399,1.08711314,-2.16034842,0.897241652,-2.99853349,1.42141199,-0.714328051,0.0552097186
106,2,3,-3.64069176,1.21371901,0.248445868,2.74921775,-2.09953618,1.48132527,-3.69220591,-2.422158,-1.05956841,-0.456251264
107,2,5,-2.16245604,-0.841020107,-0.947499812,0.858092546,-1.05137706,1.68879437,-2.38311195,-1.27721059,0.430854321,0.924610615
108,2,3,-2.10148406,-1.20590699,-0.0873803124,1.74281502,-1.67930794,0.759740412,-3.62932587,0.114751883,0.000508822501,1.04916084
109,2,3,-2.60398817,-0.83938396,-0.111898594,1.68145597,-0.705701232,0.904208481,-2.637465,-1.08669031,-0.120754495,0.362927705
110,2,3,-2.24183059,-1.16716802,0.0390390679,1.26236641,-0.0640786141,-0.0652297065,-3.18023539,-0.36022678,0.0234344043,0.428287566
111,2,5,-1.77766895,-1.00284708,-0.474559993,1.22002327,-1.63883638,1.41129363,-2.50850224,-0.354195803,0.00381070375,0.801113963
112,2,8,0.162826389,-2.65963268,0.791932285,-1.00693083,-0.448089957,-1.3904171,-0.420341134,-2.24469161,2.32620907,-1.13270974
113,2,5,-2.25300431,-1.19133568,0.0114020156,1.11131179,-0.702456415,1.34144187,-1.70679426,-1.189412,-0.0717645586,0.149116263
114,2,3,-3.13078213,-0.848116159,-0.366463333,1.85179901,-0.456741065,0.677960813,-3.64635324,-0.957332969,-0.184668437,0.611983418
115,2,3,-1.82061851,-0.272016257,0.433613986,1.96122718,-2.48323989,1.17734563,-2.80055928,-0.351277888,-0.511041939,-0.226810038
116,2,3,-2.17456365,0.360493809,0.962767839,2.23612547,-4.18619442,2.18972588,-2.32734489,-2.69920278,-0.276807278,-1.40351868
117,2,3,-1.80275452,-1.35262835,0.281414568,2.12873101,-2.44941378,0.643493414,-3.83417583,0.83245486,-0.29764393,0.415755451
118,2,3,-2.18585372,-0.882806957,0.319247216,1.31773925,-0.520581245,0.123866916,-3.09810686,-0.138772383,-0.166382566,0.317878842
119,2,3,-2.71903157,-0.331504703,-0.712802112,2.52239037,-1.57509995,1.22379482,-2.64150953,-2.63837981,0.212848306,0.511823654
120,2,8,-1.37400019,-1.95991039,-1.03420401,-0.61984992,-0.0711500049,-0.259638488,-2.9205637,-0.208977357,1.58495224,1.06349289
121,2,8,-1.7120589,-1.6972661,0.65068841,0.6723665,-0.988493264,-0.432837069,-2.02513027,-0.983864248,1.94030869,0.170894116
122,2,3,-2.06687856,-0.343397051,0.0611647852,1.79391062,-1.79055572,1.24989069,-2.37915349,-0.765247703,-0.317899793,-0.0901531652
123,2,3,-2.59712696,-0.861410439,-0.232197464,1.62391782,-0.884540439,0.273686886,-2.76965451,-1.8707633,1.46670818,0.462296188
124,2,5,-1.79924929,-2.70791149,-1.10728717,0.902120352,-2.04841948,1.9117111,-3.65113997,-0.0847831517,0.501408696,1.89963865
125,2,3,-1.31157374,-1.48996902,0.126285911,2.13337874,-1.53838515,-1.11613631,-4.02622843,-1.05586171,1.6310277,0.460902125
126,2,8,1.98651958,-3.44782352,0.90652281,-1.87008584,-1.8734386,-2.96016431,-0.232447565,-3.81950259,4.72386599,-2.95040298
127,2,3,-2.68730497,0.583267152,1.01160979,2.65920901,-3.9724617,2.02773809,-1.5824939,-4.57367373,-0.694473743,-1.75601852
128,2,3,-1.91910505,-0.770700991,0.653493643,0.976433396,-0.963984728,0.68309164,-1.63927269,-0.412207961,-0.305910259,-0.485187262
129,2,3,-2.43764758,-0.669437468,-0.107935108,1.64938784,-0.948289096,0.97235781,-2.35203862,-1.25931776,0.043365892,0.30106464
130,2,3,-2.13050818,-0.170705885,0.178820819,1.70888019,-1.43454051,0.838481188,-2.51241112,-0.981424391,-0.153665081,0.288302749
131,2,7,-1.54884875,-0.807297111,0.787361622,1.88476157,-2.44513249,-0.242030993,-4.236938,1.92339814,-0.295034945,-0.0432289205
132,2,8,1.68540418,-2.96040344,0.896138966,-2.26100278,-1.44829798,-2.63646173,-0.512927175,-2.82127333,4.37220097,-2.33514786
133,2,5,-2.20376992,0.299589157,0.391697049,1.24954283,-1.17236423,1.59814501,-0.856205761,-2.82355165,-1.52170575,-1.18524671
134,2,3,-3.09459448,-0.396164477,-0.34312585,1.81184423,-0.764155746,0.691985428,-3.24382114,-1.2093569,0.059678603,0.419322222
135,2,3,-2.30251265,0.195170149,1.00200188,2.5199852,-3.5286715,1.27398419,-2.48583293,-2.29045749,0.230231464,-1.40639353
136,2,7,-1.14591503,-2.89592266,-2.35899043,0.517214656,-4.77091503,3.56185412,-5.21655607,3.99206161,-1.12728369,0.299337476
137,2,3,-1.55514014,-1.52753305,0.172736645,1.96945763,-2.93692374,0.836416721,-3.62895966,0.692256212,0.0185436867,0.545006514
138,2,5,-1.39955151,-1.68441343,-1.24294055,0.69299078,-2.21476293,1.86173332,-3.48691988,1.10889184,-0.236385524,1.15294445
139,2,8,2.51293349,-4.25586891,0.427550972,-3.07657862,-1.8388164,-2.57529593,-1.63312733,-1.73357248,5.09259462,-1.83198225
140,2,3,-2.40630198,-0.719216526,0.0518468618,1.55486786,-0.681777775,0.426604033,-2.86105156,-0.790125549,0.0902623385,0.128248066
141,2,3,-2.28890991,-0.675292671,0.834699094,1.030985,-0.885322273,0.449260771,-1.97919714,-0.507076621,0.07996732,-0.682672083
142,2,3,-2.73011589,0.389226556,1.19926715,2.87925553,-4.83073521,2.21618462,-2.88855195,-3.16407156,-0.0611130148,-1.67880869
143,2,3,-1.80127561,-0.341067493,-0.176326841,0.952933073,-0.696373999,0.926306605,-1.70495164,-0.564516485,-0.358495355,0.27160868
144,2,7,-1.81785798,-1.81526303,0.329373956,2.33536768,-3.55009055,0.146383971,-6.1441555,3.00324059,-0.35515976,0.300808042
145,2,5,-0.797953606,-2.20838714,-1.04550111,0.772848845,-2.55299568,2.22518158,-2.53805804,0.417577118,-0.186618894,0.747317553
146,2,8,2.29218221,-3.96299601,0.586541235,-3.11689544,-1.15909481,-2.61325479,-0.298500031,-2.90269113,4.48302698,-2.21267271
147,2,3,-2.7415452,0.259619385,0.194122732,1.90376711,-1.90335083,1.67476749,-1.54349995,-3.19754767,-0.37666887,-0.57452637
148,2,3,-2.16330361,-1.61677754,-0.0245649479,3.1218102,-4.10399914,1.23963678,-5.6682663,1.02807128,-0.245733649,0.55088371
149,2,8,-2.60026908,-0.902204454,0.234289706,0.610722065,-0.172666803,0.438967347,-1.58169055,-1.46391666,0.780401707,-0.160509333
150,3,5,-1.48019278,-1.26288378,-0.902911127,0.318838388,-1.64008284,1.96869385,-2.11541247,0.253998488,-0.158656299,0.803803146
151,3,3,-1.75789344,-1.70546544,0.159037828,2.47291017,-3.65570307,1.0351361,-4.58521605,0.970207989,-0.0779758021,0.531832993
152,3,3,-2.36175394,0.0111461245,0.468931168,1.7436173,-2.22248602,1.3564415,-1.91123796,-2.04635835,0.29212755,-0.461158723
153,3,8,1.2266866,-2.34003139,1.08514285,-1.28718472,-2.40993714,-1.22967839,0.688093364,-3.97225666,2.9856286,-2.91530848
154,3,3,-1.89941573,0.0408420973,0.238536924,1.27625799,-1.21748519,0.79110688,-1.81054938,-1.00017262,-0.0934300125,-0.0776803493
155,3,3,-2.20621276,-0.295341134,0.308882207,1.32130599,-1.10074568,0.584632099,-2.4577446,-0.618920445,-0.00821277499,0.170060173
156,3,3,-1.77256405,-0.925290465,0.189632773,0.633508444,-0.179545805,0.615145385,-1.62382555,-0.472239494,-0.234186977,-0.00358776236
157,3,7,-3.53247213,-2.23664618,-3.55602646,1.54950988,-2.67300129,3.20256519,-6.82748699,3.58196568,-1.75070667,1.25146866
158,3,8,2.28239775,-4.37408447,0.508644104,-3.36559081,-0.970794559,-2.42519474,0.0110901017,-3.25187325,4.42140722,-2.06820917
